Date,Flow Type,Account Head,Parent Head,Description,Amount
02/01/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
04/01/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
06/01/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
08/01/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
10/01/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
12/01/2026,Outflow,Payroll,People,Monthly payroll run,-20850
14/01/2026,Outflow,Contractors,People,Contractor invoice,-6725
16/01/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
18/01/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
20/01/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
22/01/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
24/01/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
26/01/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
28/01/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
30/01/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
01/02/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
03/02/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
05/02/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
07/02/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
09/02/2026,Outflow,Payroll,People,Monthly payroll run,-20850
11/02/2026,Outflow,Contractors,People,Contractor invoice,-6725
13/02/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
15/02/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
17/02/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
19/02/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
21/02/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
23/02/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
25/02/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
27/02/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
01/03/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
03/03/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
05/03/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
07/03/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
09/03/2026,Outflow,Payroll,People,Monthly payroll run,-20850
11/03/2026,Outflow,Contractors,People,Contractor invoice,-6725
13/03/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
15/03/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
17/03/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
19/03/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
21/03/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
23/03/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
25/03/2026,Outflow,Payroll,People,Bonus and payroll adjustment,-28400
27/03/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
29/03/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
31/03/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
02/04/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
04/04/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
06/04/2026,Outflow,Payroll,People,Monthly payroll run,-20850
08/04/2026,Outflow,Contractors,People,Contractor invoice,-6725
10/04/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
12/04/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
14/04/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
16/04/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
18/04/2026,Revenue,Enterprise Subscription,Recurring Revenue,Expansion order,-3775
20/04/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
22/04/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
24/04/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
26/04/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
